types 4
4
4
4
4
jobs 10
ops 10
1 4 4
3 72 42
0 12 48
2 70 38
3 32 42
1 56 32
2 23 3
2 85 34
2 10 30
3 9 46
ops 10
0 90 30
2 71 47
0 39 25
3 83 25
2 93 27
1 57 17
2 97 46
3 42 13
1 31 6
2 6 12
ops 10
3 97 15
0 69 36
1 57 26
3 57 16
2 72 34
1 12 12
1 31 37
0 7 32
0 100 3
2 56 1
ops 10
0 68 33
3 100 8
3 49 9
1 61 47
2 45 1
2 71 4
0 24 24
2 71 33
0 37 36
3 96 28
ops 10
1 23 13
1 53 14
1 75 2
3 32 12
3 65 8
1 75 1
2 23 6
0 64 38
0 67 31
3 81 46
ops 10
0 39 3
0 78 18
3 52 31
1 25 2
3 78 1
3 75 44
2 33 46
3 97 20
1 14 6
1 18 32
ops 10
3 12 45
2 93 50
3 94 48
0 20 43
3 70 36
0 48 7
0 96 31
3 93 33
2 75 18
0 43 39
ops 10
0 32 26
0 14 15
2 57 7
3 6 17
3 2 19
2 96 46
0 92 45
1 74 3
2 42 12
2 55 15
ops 10
3 77 50
0 91 20
1 17 41
3 7 46
0 68 7
2 95 39
3 5 14
0 20 38
3 99 25
2 23 28
ops 10
2 30 36
1 52 39
1 44 27
1 89 29
3 79 23
1 45 36
0 59 5
1 70 29
0 35 27
2 11 26
